name,location.coordinate.longitude,location.coordinate.latitude,review_count,rating,categories
Alison's Coastal Cafe & Bakery,-122.382619903663,47.6672717622741,37,4,"[[""Bakeries"",""bakeries""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Palermo,-122.38255948629,47.668546719318,139,3.5,"[[""Italian"",""italian""],[""Pizza"",""pizza""],[""Sandwiches"",""sandwiches""]]"
Garden Sushi,-122.378882992469,47.6675477825815,66,4.5,"[[""Sushi Bars"",""sushi""],[""Japanese"",""japanese""],[""Food Trucks"",""foodtrucks""]]"
The People's Pub,-122.385849,47.6680107,209,4,"[[""German"",""german""],[""Pubs"",""pubs""]]"
Wild Mountain Cafe,-122.37455,47.690838,298,4,"[[""American (Traditional)"",""tradamerican""]]"
Cafe Mox,-122.3804474,47.6649513,156,4,"[[""Bars"",""bars""],[""Cafes"",""cafes""],[""Sandwiches"",""sandwiches""]]"
Smokin' Pete's BBQ,-122.3817902,47.6761589,162,3,"[[""Barbeque"",""bbq""]]"
Robertino's Italian Specialties,-122.387928664684,47.686869353056,10,4,"[[""Coffee \u0026 Tea"",""coffee""],[""Italian"",""italian""]]"
The Market Arms,-122.387939,47.66827,154,3,"[[""British"",""british""],[""Pubs"",""pubs""]]"
Kangaroo & Kiwi Pub,-122.383392,47.668941,186,3.5,"[[""Pubs"",""pubs""],[""Australian"",""australian""]]"
Golden City,-122.3818893,47.66922,100,3.5,"[[""Chinese"",""chinese""]]"
Fresh Flours,-122.383827,47.666573,116,4,"[[""Bakeries"",""bakeries""],[""Cafes"",""cafes""],[""Coffee \u0026 Tea"",""coffee""]]"
Wingmasters Sports Bar,-122.3878708,47.6714401,120,3.5,"[[""Sports Bars"",""sportsbars""],[""Chicken Wings"",""chicken_wings""],[""American (Traditional)"",""tradamerican""]]"
Grumpy D's Coffee House,-122.377032861114,47.6796506705776,30,4.5,"[[""Coffee \u0026 Tea"",""coffee""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Chippy's Fish And Drink,-122.380015477538,47.6636146008968,43,3.5,"[[""Seafood"",""seafood""],[""Fish \u0026 Chips"",""fishnchips""]]"
Mod Pizza,-122.375816,47.672721,29,4,"[[""Fast Food"",""hotdogs""],[""Pizza"",""pizza""]]"
Bloom,-122.3786392,47.6682701,79,3.5,"[[""Ramen"",""ramen""],[""Tapas/Small Plates"",""tapasmallplates""]]"
Carmelitos,-122.4060338,47.6744841,5,5,"[[""Peruvian"",""peruvian""],[""Ice Cream \u0026 Frozen Yogurt"",""icecream""],[""Desserts"",""desserts""]]"
Eetbar,-122.378725335002,47.6694846153259,34,3.5,"[[""Comfort Food"",""comfortfood""],[""Cocktail Bars"",""cocktailbars""]]"
Macleod's Scottish Pub,-122.3823318,47.6659012,80,4,"[[""Pubs"",""pubs""],[""Scottish"",""scottish""]]"
